iduser ,location,rank ,average_rating
173478,\N,\N,5
173482,\N,\N,4.5
173490,CA,\N,3.625
173491,\N,\N,2
173494,\N,\N,3
173495,\N,\N,4
173496,\N,\N,4
173499,\N,\N,5
173500,"Bakersfield, CA",\N,4.5
173502,\N,\N,4.2222
173504,\N,\N,3.6923
173506,\N,\N,5
173507,Bath PA,\N,5
173509,\N,\N,3
173510,\N,\N,1
173518,\N,\N,5
173519,\N,\N,1
173520,\N,\N,3
173523,\N,\N,1
173527,\N,\N,4
173530,\N,\N,3
173536,\N,\N,3.25
173539,\N,\N,5
173549,\N,\N,5
173563,\N,\N,5
173564,\N,\N,5
173565,\N,\N,2
173567,\N,\N,5
173568,\N,\N,5
173577,\N,\N,\N
173581,\N,\N,1
173585,\N,\N,\N
173591,\N,\N,4
173592,\N,\N,1
173599,\N,\N,1
173602,\N,\N,5
173606,\N,\N,4
173608,\N,\N,5
173609,\N,\N,5
173611,\N,\N,4
173613,\N,\N,1
173617,\N,\N,5
173622,\N,\N,1
173630,\N,\N,1
173631,\N,\N,5
173641,\N,\N,4
173645,Miami  Florida,\N,4.2
173654,\N,\N,5
173659,\N,\N,5
173661,\N,\N,5
173672,\N,\N,5
173674,\N,\N,3
173675,\N,\N,5
173682,\N,\N,5
173683,\N,\N,5
173684,\N,\N,4.7
173685,\N,\N,1
173688,\N,\N,5
173693,\N,\N,1
173701,\N,\N,4
173702,"San Diego, CA",\N,3
173704,\N,\N,1
173706,\N,\N,5
173708,\N,\N,5
173711,\N,\N,4
173713,\N,\N,1
173719,\N,\N,5
173721,"Atlanta, GA",\N,4
173732,\N,\N,1
173736,"Tucson, AZ",\N,1
173739,\N,\N,5
173744,\N,\N,1
173748,\N,\N,1
173750,\N,\N,1
173754,\N,\N,\N
173755,\N,\N,5
173757,\N,\N,5
173760,\N,\N,5
173769,\N,\N,5
173770,\N,\N,1
173771,\N,\N,5
173777,"Austin, TX",\N,\N
173778,\N,\N,1
173787,\N,\N,2
173793,\N,\N,5
173797,\N,\N,1
173802,\N,\N,4.1111
173812,\N,\N,1
173815,\N,\N,5
173820,\N,\N,1
173821,\N,\N,5
173825,\N,\N,2
173827,\N,\N,1
173829,\N,\N,5
173832,\N,\N,5
173833,\N,\N,4
173843,\N,\N,\N
173846,\N,\N,5
173847,\N,\N,1.5
173852,\N,\N,2
173854,\N,\N,1
173861,\N,\N,4
173867,\N,\N,4
173870,\N,\N,\N
173871,\N,\N,1
173872,\N,\N,4
173880,\N,\N,1
173885,\N,\N,4
173887,\N,\N,4.5
173890,\N,\N,3.6667
173891,\N,\N,5
173892,\N,\N,2
173894,\N,\N,4.3846
173897,\N,\N,1
173898,\N,\N,2
173899,\N,\N,4.4
173900,\N,\N,1
173904,\N,\N,5
173911,\N,\N,4
173920,\N,\N,5
173925,\N,\N,1
173926,\N,\N,4
173929,\N,\N,4
173931,\N,\N,5
173932,\N,\N,1
173933,\N,\N,5
173934,\N,\N,1
173935,\N,\N,\N
173945,\N,\N,5
173957,\N,\N,3
173960,\N,\N,4
173961,\N,\N,5
173969,\N,\N,5
173972,\N,\N,5
173973,\N,\N,3.3333
173974,\N,\N,1.6667
173975,\N,\N,5
173976,\N,\N,2
173981,\N,\N,5
173986,\N,\N,3
173987,\N,\N,1
173992,\N,\N,1
173993,\N,\N,5
173994,\N,\N,5
174001,\N,\N,5
174005,\N,\N,5
174009,\N,\N,4
174013,\N,\N,1
174015,\N,\N,4
174016,\N,\N,5
174020,\N,\N,4.5
174022,\N,\N,4
174029,\N,\N,3
174032,\N,\N,4
174035,\N,\N,1
174041,\N,\N,5
174042,\N,\N,3
174045,\N,\N,4.1667
174048,\N,\N,5
174052,"Los Angeles, CA, USA",\N,4.6667
174058,\N,\N,5
174060,\N,\N,5
174062,\N,\N,5
174063,\N,\N,5
174068,\N,\N,4
174069,\N,\N,5
174073,\N,\N,1
174076,\N,\N,5
174082,\N,\N,5
174087,\N,\N,5
174090,\N,\N,5
174092,\N,\N,2.5
174094,\N,\N,5
174101,\N,\N,5
174103,\N,\N,5
174105,"Culver City, CA",\N,4.3333
174107,\N,\N,\N
174108,\N,\N,5
174110,\N,\N,1
174112,\N,\N,3
174116,\N,\N,3
174120,\N,\N,5
174121,\N,\N,5
174126,\N,\N,5
174128,\N,\N,5
174129,\N,\N,1
174132,California,\N,4
174137,\N,\N,1
174138,\N,\N,2
174139,\N,\N,1
174143,\N,\N,5
174151,\N,\N,5
174153,\N,\N,5
174155,\N,\N,4.875
174160,\N,\N,5
174165,\N,\N,1
174167,\N,\N,4.3333
174168,\N,\N,5
174170,\N,\N,1
174172,\N,\N,1
174173,\N,\N,3
174174,\N,\N,1
174175,\N,\N,1
174178,\N,\N,3
174182,\N,\N,1
174195,\N,\N,5
174200,\N,\N,5
174201,\N,\N,4.6667
174208,\N,\N,1
174209,\N,\N,5
174211,\N,\N,5
174221,\N,\N,4
174235,\N,\N,1
174237,\N,\N,2
174238,\N,\N,1
174241,\N,\N,5
174242,\N,\N,1
174244,\N,\N,5
174245,\N,\N,5
174247,\N,\N,1
174250,\N,\N,5
174251,\N,\N,2.5
174254,\N,\N,\N
174258,\N,\N,4.5
174261,\N,\N,1
174264,\N,\N,5
174273,\N,\N,1
174275,\N,\N,1
174289,\N,\N,1
174290,\N,\N,\N
174293,\N,\N,5
174294,\N,\N,1
174299,\N,\N,5
174300,\N,\N,5
174301,\N,\N,5
174307,\N,\N,1
174310,\N,\N,2
174315,\N,\N,5
174318,\N,\N,3
174319,\N,\N,5
174321,\N,\N,1
174331,\N,\N,5
174334,\N,\N,5
174337,"East Hartford, CT",\N,4.3
174341,\N,\N,4
174346,\N,\N,5
174347,\N,\N,1
174350,\N,\N,4
174359,\N,\N,3.75
174367,\N,\N,2
174368,\N,\N,1
174370,\N,\N,2
174371,"Visalia ,   Ca",\N,\N
174373,\N,\N,5
174380,\N,\N,5
174387,\N,\N,2.5
174390,\N,\N,5
174392,\N,\N,5
174396,\N,\N,5
174401,\N,\N,1
174405,\N,\N,1
174411,\N,\N,3
174413,\N,\N,5
174418,\N,\N,5
174421,\N,\N,1
174424,\N,\N,2
174426,\N,\N,1
174427,\N,\N,5
174432,\N,\N,5
174434,\N,\N,2
174436,\N,\N,5
174438,\N,\N,3.8889
174445,\N,\N,1
174451,\N,\N,5
174453,"Muncie, IN",\N,4.125
174454,\N,\N,2
174471,\N,\N,3.5
174474,\N,\N,1
174476,\N,\N,3
174479,\N,\N,5
174480,\N,\N,5
174481,\N,\N,5
174482,\N,\N,1
174484,\N,\N,3
174486,Huntington Beach,\N,3.5
174491,\N,\N,4.5
174496,\N,\N,5
174499,"glen cove, NY",\N,4.0725
174503,\N,\N,4
174505,\N,\N,2
174510,\N,\N,1
174513,\N,\N,5
174515,\N,\N,5
174517,\N,\N,1
174519,\N,\N,1.5
174526,\N,\N,1
174529,\N,\N,1
174530,\N,\N,5
174533,\N,\N,5
174535,\N,\N,1
174541,\N,\N,5
174543,\N,\N,2
174550,\N,\N,4
174551,\N,\N,1
174553,\N,\N,5
174559,\N,\N,1
174562,\N,\N,4
174570,\N,\N,5
174573,\N,\N,4
174576,\N,\N,4
174578,\N,\N,5
174582,\N,\N,4.8333
174586,\N,\N,3.4
174589,\N,\N,1
174590,\N,\N,5
174591,\N,\N,4
174593,\N,\N,1
174596,\N,\N,1
174598,\N,\N,2
174599,\N,\N,\N
174601,\N,\N,4.7143
174602,\N,\N,2
174607,\N,\N,4.6667
174609,\N,\N,3
174610,\N,\N,1
174611,"Vernon, New Jersey",\N,1
174615,\N,\N,1
174619,\N,\N,1
174621,\N,\N,1
174625,\N,\N,5
174630,\N,\N,3
174633,\N,\N,5
174646,\N,\N,2.5
174650,\N,\N,5
174651,\N,\N,1
174660,\N,\N,5
174670,\N,\N,4
174673,\N,\N,1
174676,\N,\N,2
174682,\N,\N,1
174688,\N,\N,1
174691,\N,\N,1
174698,\N,\N,5
174707,"New Berlin, WI",\N,4.4545
174712,\N,\N,5
174718,\N,\N,2
174725,\N,\N,5
174726,\N,\N,\N
174729,\N,\N,3
174730,"Rolla, Missouri, USA",\N,\N
174732,\N,\N,1
174741,\N,\N,1
174743,\N,\N,5
174746,\N,\N,1
174747,\N,\N,4.5
174748,\N,\N,5
174750,\N,\N,5
174755,\N,\N,2
174756,Washington D.C.,\N,4.5455
174766,\N,\N,2
174769,\N,\N,5
174772,\N,\N,1
174775,\N,\N,5
174778,\N,\N,5
174784,\N,\N,1
174795,\N,\N,3
174804,\N,\N,5
174812,\N,\N,2
174813,\N,\N,2.5
174819,\N,\N,1
174820,Northern Virginia,\N,3.7917
174825,\N,\N,1
174832,\N,\N,2
174836,\N,\N,5
174837,\N,\N,4
174845,\N,\N,5
174848,\N,\N,2
174856,\N,\N,5
174861,\N,\N,5
174863,\N,\N,1
174864,\N,\N,5
174865,\N,\N,5
174867,"Louisville, KY, USA",\N,4.375
174869,\N,\N,1
174871,\N,\N,4
174873,\N,\N,2
174879,\N,\N,2.3333
174883,\N,\N,5
174885,\N,\N,5
174887,\N,\N,5
174892,\N,\N,5
174893,\N,\N,3
174895,\N,\N,5
174910,\N,\N,5
174915,\N,\N,5
174916,\N,\N,3.6667
174917,\N,\N,3
174919,\N,\N,1
174920,\N,\N,5
174927,\N,\N,1.25
174928,\N,\N,1
174929,\N,\N,5
174932,\N,\N,5
174934,\N,\N,3
174937,\N,\N,5
174939,\N,\N,1
174940,\N,\N,1
174949,\N,\N,1
174950,\N,\N,5
174953,\N,\N,1
174956,\N,\N,1
174971,\N,\N,5
174978,\N,\N,1
174981,\N,\N,2
174982,\N,\N,1
174988,\N,\N,1
174991,\N,\N,1
174996,\N,\N,3.9375
175004,\N,\N,1
175006,\N,\N,1
175007,\N,\N,4
175011,\N,\N,1
175012,\N,\N,4
175015,\N,\N,4
175016,\N,\N,1
175017,\N,\N,1
175018,\N,\N,1
175029,\N,\N,2
175044,\N,\N,5
175045,\N,\N,4
175046,\N,\N,5
175047,\N,\N,3.75
175051,\N,\N,4
175055,\N,\N,5
175056,"Fenton, MO",\N,4.6667
175059,\N,\N,5
175061,\N,\N,2
175068,\N,\N,5
175072,beautiful Ithaca NY,493,3.9419
175075,\N,\N,4
175080,\N,\N,1
175089,\N,\N,4.1111
175095,\N,\N,4
175096,\N,\N,5
175098,\N,\N,5
175107,\N,\N,5
175119,\N,\N,1
175125,\N,\N,1
175127,\N,\N,3.5
175129,\N,\N,2.3333
175132,\N,\N,3.6667
175140,\N,\N,1
175143,\N,\N,5
175144,\N,\N,5
175146,\N,\N,4
175148,\N,\N,5
175151,\N,\N,5
175152,\N,\N,1
175159,\N,\N,4
175161,\N,\N,5
175163,\N,\N,2
175166,\N,\N,4.4
175167,\N,\N,5
175171,\N,\N,5
175173,\N,\N,1
175177,\N,\N,2
175183,\N,\N,4.3333
175184,\N,\N,5
175190,\N,\N,5
175191,\N,\N,1
175195,\N,\N,4
175196,\N,\N,5
175203,\N,\N,1
175204,\N,\N,2
175205,\N,\N,5
175207,\N,\N,5
175209,\N,\N,4.5
175210,\N,\N,3
175211,\N,\N,5
175215,\N,\N,1
175222,\N,\N,4
175229,\N,\N,5
175232,\N,\N,4
175233,\N,\N,5
175237,\N,\N,5
175240,\N,\N,4
175241,\N,\N,5
175243,\N,\N,5
175244,\N,\N,4.3333
175247,\N,\N,4
175254,\N,\N,1
175257,\N,\N,5
175262,\N,\N,5
175263,\N,\N,4
175270,\N,\N,5
175272,\N,\N,5
175276,\N,\N,5
175286,\N,\N,5
175288,\N,\N,5
175291,\N,\N,1
175293,\N,\N,3
175296,\N,\N,4
175304,\N,\N,4
175307,\N,\N,5
175308,\N,\N,1
175309,\N,\N,5
175314,\N,\N,5
175316,\N,\N,1
175319,\N,\N,2
175320,\N,\N,4
175321,\N,\N,4
175331,\N,\N,4
175338,\N,\N,3
175343,\N,\N,5
175347,\N,\N,4
175348,\N,\N,1
175350,\N,\N,2
175353,\N,\N,1
175354,\N,\N,2
175355,\N,\N,3.5
175363,\N,\N,5
175368,\N,\N,4
175369,\N,\N,5
175370,\N,\N,1
175374,"NC,USA",\N,1
175387,\N,\N,5
175388,\N,\N,1
175396,\N,\N,5
175398,\N,\N,4.5
175400,\N,\N,1
175401,\N,\N,4
175404,\N,\N,1
175405,\N,\N,1
175406,morganville nj,\N,5
175407,\N,\N,5
175408,\N,\N,5
175409,\N,\N,5
175415,\N,\N,5
175417,\N,\N,5
175420,\N,\N,5
175425,\N,\N,2.6
175433,\N,\N,5
175439,"Belleville, Illinois",\N,3
175440,\N,\N,1
175444,\N,\N,5
175446,\N,\N,5
175448,\N,\N,5
175450,\N,\N,5
175452,\N,\N,1
175467,\N,\N,5
175468,\N,\N,2
175473,\N,\N,1
175482,\N,\N,5
175486,\N,\N,1
175489,\N,\N,4
175490,\N,\N,5
175496,\N,\N,5
175497,"Mount Olympus, California",\N,2.3333
175500,\N,\N,3
175502,\N,\N,5
175506,\N,\N,5
175507,\N,\N,1
175511,\N,\N,3
175514,\N,\N,3
175516,\N,\N,1
175518,\N,\N,5
175519,\N,\N,1
175522,\N,\N,5
175529,\N,\N,1
175530,\N,\N,5
175532,\N,\N,4.3333
175534,\N,\N,1
175540,\N,\N,4
175544,\N,\N,1
175549,\N,\N,5
175550,\N,\N,4
175554,\N,\N,4
175557,\N,\N,5
175559,\N,\N,2
175562,\N,\N,5
175563,"Flint,Michigan",\N,4
175573,\N,\N,1
175581,\N,\N,1
175586,\N,\N,2
175592,\N,\N,4
175593,\N,\N,4
175594,\N,\N,4
175599,\N,\N,1
175601,\N,\N,1
175607,\N,\N,4.5
175609,\N,\N,1
175610,\N,\N,4
175616,\N,\N,1
175618,\N,\N,1
175620,\N,\N,4
175624,\N,\N,5
175626,\N,\N,1
175629,\N,\N,1
175630,\N,\N,4
175631,\N,\N,5
175635,\N,\N,5
175643,\N,\N,1
175649,\N,\N,4
175655,\N,\N,3
175656,\N,\N,4.5
175658,\N,\N,4
175659,\N,\N,5
175661,\N,\N,1
175674,\N,\N,5
175676,\N,\N,4
175684,\N,\N,1
175689,\N,\N,1.5
175697,\N,\N,5
175701,\N,\N,3
175702,\N,\N,4
175705,\N,\N,1
175706,\N,\N,5
175707,\N,\N,5
175708,"Reseda, CA, USA",\N,4
175713,\N,\N,5
175715,\N,\N,\N
175718,\N,\N,4.5
175720,\N,\N,5
175731,\N,\N,4
175734,\N,\N,5
175737,\N,\N,2
175739,\N,\N,3.6667
175748,\N,\N,2.5
175752,\N,\N,4
175753,\N,\N,4
175758,\N,\N,4.25
175760,\N,\N,3
175762,\N,\N,5
175769,\N,\N,1
175771,\N,\N,5
175774,\N,\N,5
175775,\N,\N,4
175777,\N,\N,1
175780,"Portage, IN",\N,2
175782,\N,\N,5
175783,"Chesterfield, SC",\N,4
175786,\N,\N,1
175790,\N,\N,1
175796,\N,\N,1
175800,\N,\N,5
175801,\N,\N,1
175807,\N,\N,2
175809,\N,\N,4
175812,\N,\N,5
175817,\N,\N,1
175818,\N,\N,1
175820,\N,\N,5
175823,\N,\N,4
175830,\N,\N,3.5
175839,\N,\N,5
175840,\N,\N,3.6667
175841,\N,\N,3.75
175844,\N,\N,1
175845,\N,\N,3.4545
175846,Canada (from USA),\N,4.9118
175850,\N,\N,4
175854,"Ephraim, Utah, USA",\N,4.2308
175860,\N,\N,5
175864,\N,\N,5
175872,\N,\N,5
175875,\N,\N,1
175876,\N,\N,5
175877,"Bendavis, MO",\N,3
175890,\N,\N,5
175899,\N,\N,1
175904,\N,\N,5
175906,\N,\N,2.5
175908,\N,\N,1.8333
175911,\N,\N,1
175912,\N,\N,2
175914,\N,\N,4
175915,\N,\N,5
175918,\N,\N,5
175921,\N,\N,1
175922,\N,\N,1
175924,\N,\N,3
175927,\N,\N,5
175932,\N,\N,1
175933,\N,\N,5
175936,\N,\N,3
175938,\N,\N,5
175940,\N,\N,5
175946,\N,\N,1
175947,Palmbay florida,\N,5
175948,\N,\N,4
175953,\N,\N,1
175958,\N,\N,4
175964,\N,\N,4
175969,\N,\N,4
175973,\N,\N,1
175976,\N,\N,5
175981,\N,\N,4
175984,\N,\N,4
175995,\N,\N,1
175997,\N,\N,3
176007,\N,\N,3
176008,"Hollywood, Florida",\N,3.6667
176010,\N,\N,1
176014,\N,\N,3
176015,\N,\N,5
176019,\N,\N,5
176032,\N,\N,5
176035,\N,\N,1
176045,\N,\N,4
176065,\N,\N,4.5
176069,\N,\N,1
176072,\N,\N,4.5
176073,\N,\N,1
176083,\N,\N,1
176086,\N,\N,5
176087,\N,\N,1
176092,\N,\N,5
176100,\N,\N,3.6667
176101,\N,\N,5
176102,\N,\N,5
176103,\N,\N,1
176112,\N,\N,1
176118,\N,\N,1
176121,\N,\N,3
176131,\N,\N,4
176133,\N,\N,2
176136,\N,\N,1
176140,\N,\N,1
176146,\N,\N,1
176148,\N,\N,5
176150,\N,\N,3
176153,\N,\N,5
176155,\N,\N,5
176157,\N,\N,4
176159,\N,\N,1
176161,\N,\N,3
176162,\N,\N,1
176165,\N,\N,5
176166,\N,\N,4.5
176171,\N,\N,5
176173,\N,\N,4
176174,\N,\N,\N
176176,\N,\N,5
176177,\N,\N,1
176178,\N,\N,5
176180,\N,\N,1.5
176183,\N,\N,1
176185,\N,\N,3.6667
176186,\N,\N,3
176190,\N,\N,4
176191,\N,\N,5
176194,\N,\N,2
176195,\N,\N,5
176199,\N,\N,4
176208,\N,\N,\N
176216,\N,\N,2
176217,\N,\N,1
176223,\N,\N,5
176227,\N,\N,1
176234,\N,\N,1
176236,\N,\N,5
176239,\N,\N,5
176240,\N,\N,2
176243,\N,\N,5
176245,\N,\N,1
176246,\N,\N,5
176248,\N,\N,5
176255,\N,\N,4
176257,\N,\N,4.25
176261,\N,\N,1
176277,\N,\N,1
176280,\N,\N,3
176283,\N,\N,5
176291,\N,\N,3.3333
176296,\N,\N,1
176299,\N,\N,1
176301,\N,\N,5
176302,\N,\N,3
176303,\N,\N,1
176304,\N,\N,4.5
176311,\N,\N,1
176313,\N,\N,1
176314,\N,\N,3.5
176315,\N,\N,5
176324,\N,\N,4
176325,\N,\N,5
176327,\N,\N,1
176329,\N,\N,2
176332,"Perry, GA, USA",\N,5
176333,\N,\N,2
176335,\N,\N,1
176336,\N,\N,1
176337,South Carolina,\N,5
176342,\N,\N,4
176346,\N,\N,4
176347,\N,\N,4
176348,\N,\N,1
176350,\N,\N,1
176366,\N,\N,5
176367,\N,\N,1
176368,\N,\N,1
176372,\N,\N,1
176379,Connecticut,\N,4
176382,\N,\N,1
176386,\N,\N,2
176391,\N,\N,3
176392,\N,\N,1
176393,\N,\N,5
176396,\N,\N,5
176403,\N,\N,4
176413,\N,\N,5
176414,\N,\N,1
176415,\N,\N,5
176416,\N,\N,4
176421,\N,\N,4
176433,\N,\N,5
176434,\N,\N,1
176436,\N,\N,5
176439,\N,\N,\N
176441,\N,\N,5
176446,\N,\N,1
176447,\N,\N,5
176467,\N,\N,1.5
176468,\N,\N,2
176472,\N,\N,1
176473,\N,\N,1
176475,\N,\N,4
176476,\N,\N,5
176478,\N,\N,2
176483,\N,\N,5
176484,\N,\N,4
176487,\N,\N,4
176488,\N,\N,3.6
176489,\N,\N,1
176491,\N,\N,5
176496,\N,\N,1
176501,\N,\N,4
176503,\N,\N,1
176504,\N,\N,2
176507,\N,\N,5
176508,\N,\N,3.6667
176510,\N,\N,4
176511,\N,\N,5
176516,\N,\N,5
176518,\N,\N,2
176519,\N,\N,1
176525,\N,\N,5
176526,\N,\N,1
176527,\N,\N,4
176528,\N,\N,1
176531,\N,\N,5
176532,\N,\N,1
176533,\N,\N,1
176538,\N,\N,3
176540,\N,\N,5
176542,\N,\N,4
176543,\N,\N,3
176546,\N,\N,1
176547,\N,\N,5
176550,\N,\N,1
176560,\N,\N,2
176561,\N,\N,1
176564,\N,\N,4
176565,\N,\N,5
176566,\N,\N,5
176567,\N,\N,5
176569,\N,\N,4
176571,\N,\N,1
176573,\N,\N,\N
176584,\N,\N,4
176586,\N,\N,5
176593,\N,\N,1
176600,\N,\N,5
176608,\N,\N,5
176614,\N,\N,\N
176620,\N,\N,5
176622,\N,\N,4.6667
176625,\N,\N,5
176635,\N,\N,5
176636,\N,\N,1
176637,\N,\N,3
176640,\N,\N,3.6667
176645,\N,\N,5
176657,\N,\N,1
176659,\N,\N,1
176663,\N,\N,1
176668,\N,\N,1
176680,\N,\N,\N
176682,\N,\N,5
176687,\N,\N,4
176690,\N,\N,4
176699,\N,\N,\N
176703,\N,\N,1.5
176708,"Vienna, VA, USA",\N,4
176709,\N,\N,2
176710,\N,\N,4
176721,\N,\N,1
176722,\N,\N,5
176726,\N,\N,4
176728,\N,\N,3
176730,\N,\N,3
176732,\N,\N,3
176734,\N,\N,1
176735,\N,\N,4
176737,"New Tripoli, PA",\N,4
176738,\N,\N,1
176739,"Oak Bay, BC",\N,4.5
176740,\N,\N,\N
176741,\N,\N,5
176744,\N,\N,4
176745,\N,\N,4.3333
176752,\N,\N,3
176753,\N,\N,\N
176754,"Arlington, TX USA",\N,4
176756,"Evansville, IN",\N,4
176762,\N,\N,1
176763,\N,\N,2
176771,\N,\N,4
176772,\N,\N,3.3333
176774,\N,\N,1
176776,\N,\N,3
176779,\N,\N,4
176781,\N,\N,1
176782,\N,\N,2
176788,\N,\N,5
176789,\N,\N,4
176791,\N,\N,5
176792,\N,\N,5
176795,\N,\N,5
176799,\N,\N,5
176808,\N,\N,4
176810,\N,\N,1
176812,\N,\N,2
176813,\N,\N,5
176819,\N,\N,1
176823,\N,\N,1
176825,\N,\N,1
176826,\N,\N,5
176828,\N,\N,5
176830,\N,\N,3
176836,\N,\N,1
176838,New Jersey,\N,4.6667
176841,\N,\N,2
176847,\N,\N,1
176849,\N,\N,2
176862,\N,\N,5
176863,\N,\N,5
176864,\N,\N,1
176873,\N,\N,2
176875,\N,\N,5
176876,\N,\N,2
176881,\N,\N,2.3333
176883,\N,\N,5
176888,\N,\N,1
176889,\N,\N,5
176893,\N,\N,4.4
176896,\N,\N,5
176901,\N,\N,4
176905,\N,\N,1
176911,\N,\N,1
176914,\N,\N,5
176915,\N,\N,5
176917,Northeast Ohio,\N,5
176919,\N,\N,4
176921,\N,\N,3
176922,\N,\N,1
176925,\N,\N,5
176926,\N,\N,5
176928,\N,\N,1
176941,\N,\N,5
176943,\N,\N,1
176946,\N,\N,1
176951,\N,\N,2
176965,\N,\N,1
176966,\N,\N,1
176980,\N,\N,5
176988,\N,\N,5
176994,\N,\N,5
176995,\N,\N,1
177000,\N,\N,\N
177004,\N,\N,\N
177007,\N,\N,5
177012,\N,\N,1
177019,\N,\N,\N
177022,\N,\N,5
177023,\N,\N,5
177024,\N,\N,5
177027,\N,\N,2
177029,"Springville, NY",\N,4
177031,\N,\N,1
177033,\N,\N,1
177035,\N,\N,1
177037,\N,\N,4
177040,\N,\N,5
177044,"Saint Louis, Mo",\N,2.3333
177045,\N,\N,5
177055,\N,\N,1
177063,\N,\N,4
177069,\N,\N,5
177074,\N,\N,3
177076,\N,\N,5
177078,\N,\N,1
177092,\N,\N,5
177098,\N,\N,4.3333
177100,\N,\N,5
177107,\N,\N,2
177117,\N,\N,5
177119,\N,\N,1
177120,\N,\N,1
177121,\N,\N,1
177122,\N,\N,1
177126,\N,\N,5
177133,\N,\N,3
177136,\N,\N,1
177137,\N,\N,5
177141,\N,\N,5
177146,\N,\N,3.6667
177149,\N,\N,1
177152,\N,\N,2
177155,\N,\N,4
177167,\N,\N,5
177168,\N,\N,5
177172,\N,\N,5
177173,\N,\N,5
177174,\N,\N,4
177177,\N,\N,5
177187,\N,\N,5
177189,\N,\N,5
177194,\N,\N,5
177198,\N,\N,3.625
177207,\N,\N,4
177209,\N,\N,3.6
177211,\N,\N,4
177213,\N,\N,1
177215,\N,\N,5
177220,The great state of Texas! ,\N,3.6667
177221,\N,\N,5
177225,\N,\N,3
177227,\N,\N,5
177229,\N,\N,2
177235,\N,\N,3
177237,\N,\N,5
177241,\N,\N,5
177242,\N,\N,5
177243,\N,\N,4
177244,\N,\N,5
177247,\N,\N,5
177250,\N,\N,5
177254,\N,\N,5
177258,\N,\N,5
177259,\N,\N,1
177260,\N,\N,1
177266,\N,\N,3.4286
177269,\N,\N,5
177283,\N,\N,5
177284,\N,\N,5
177285,\N,\N,5
177288,\N,\N,1
177289,\N,\N,5
177293,\N,\N,1
177296,\N,\N,5
177303,\N,\N,4.5
177305,\N,\N,2.6667
177306,\N,\N,1
177308,\N,\N,5
177318,\N,\N,1
177325,\N,\N,1
177329,\N,\N,1
177333,\N,\N,5
177337,\N,\N,5
177340,\N,\N,1
177343,\N,\N,3
177347,\N,\N,5
177348,\N,\N,2
177351,\N,\N,4.3333
177353,\N,\N,3
177357,\N,\N,5
177359,\N,\N,1
177361,\N,\N,4.6667
177371,\N,\N,1
177374,\N,\N,3
177376,\N,\N,5
177379,\N,\N,5
177382,\N,\N,1
177388,\N,\N,5
177390,\N,\N,5
177403,\N,\N,4.2857
177406,\N,\N,5
177411,\N,\N,5
177413,\N,\N,3.5
177415,\N,\N,5
177417,\N,\N,5
177418,\N,\N,5
177422,\N,\N,5
177423,\N,\N,5
177424,\N,\N,1
177427,\N,\N,5
177429,\N,\N,1
177430,Northern New England,\N,3
177433,\N,\N,2.5
177438,\N,\N,1
177442,\N,\N,5
177444,\N,\N,1
177446,\N,\N,4
177447,\N,\N,1
177451,\N,\N,5
177452,North Carolina,\N,4
177455,\N,\N,5
177456,"Berkshire, England",\N,\N
177460,\N,\N,4
177461,\N,\N,\N
177462,\N,\N,1
177463,\N,\N,1
177468,\N,\N,1
177470,\N,\N,1
177471,\N,\N,5
177473,\N,\N,4
177474,\N,\N,1
177475,\N,\N,1
177480,\N,\N,5
177482,\N,\N,1
177488,\N,\N,4.2
177493,\N,\N,1
177499,\N,\N,4
177504,\N,\N,5
177510,\N,\N,5
177513,\N,\N,1
177521,\N,\N,5
177522,\N,\N,1
177524,\N,\N,3.5455
177530,\N,\N,1
177535,\N,\N,5
177536,\N,\N,1
177537,\N,\N,5
177542,\N,\N,4
177545,\N,\N,1
177548,"Bonney Lake, WA   USA",\N,3
177556,\N,\N,5
177557,\N,\N,5
177558,\N,\N,1
177559,\N,\N,5
177562,\N,\N,2
177567,\N,\N,5
177570,\N,\N,1
177571,\N,\N,1
177572,\N,\N,1
177574,AK,\N,5
177576,\N,\N,5
177577,\N,\N,4.5833
177578,\N,\N,4.5
177580,\N,\N,4.5
177581,\N,\N,4
177585,\N,\N,5
177586,\N,\N,1
177587,\N,\N,5
177594,\N,\N,1
177595,\N,\N,1
177597,\N,\N,2
177614,\N,\N,5
177620,\N,\N,1
177623,\N,\N,4
177625,\N,\N,5
177634,\N,\N,5
177635,"Union,NewJersey",\N,4
177636,\N,\N,4
177638,"Little Rock, AR",\N,4.0833
177639,\N,\N,5
177641,\N,\N,1
177643,\N,\N,4
177648,\N,\N,5
177650,\N,\N,4.25
177653,\N,\N,1
177655,\N,\N,2
177658,\N,\N,1.5
177659,\N,\N,5
177662,\N,\N,5
177678,\N,\N,4
177685,\N,\N,3
177691,\N,\N,4.5
177694,\N,\N,3.3333
177699,\N,\N,2
177703,\N,\N,5
177705,\N,\N,3.5
177707,\N,\N,5
177710,\N,\N,4
177712,\N,\N,4.3333
177716,\N,\N,5
177717,USA,\N,3
177727,\N,\N,1
177730,\N,\N,5
177733,\N,\N,4.5
177737,\N,\N,1
177739,\N,\N,5
177740,\N,\N,3
177741,\N,\N,1
177748,"Cape May, New Jersey",\N,3.5
177750,\N,\N,5
177756,\N,\N,5
177757,\N,\N,5
177762,\N,\N,2
177764,\N,\N,1
177766,\N,\N,5
177767,\N,\N,5
177770,\N,\N,5
